Query Name,Similar Domains
elle.com,"economist.com, getpocket.com, nextadvisor.com, hbr.org, theatlantic.com, wired.com, newyorker.com, theringer.com, thepointsguy.com, prevention.com, mozilla.net, lifehacker.com, vox.com, time.com, bloomberg.com"
uber.com,"ubr.to, bnc.lt, bttn.io, m.me, adj.st, fb.gg, ig.me, test-app.link, amazon.it, etsy.me, getmein.io, app.link, onelink.me, amazon.es, amazon.in"
webmd.com,"honcode.ch, tagsrvcs.com, surveywriter.net, ibclick.stream, emedicinehealth.com, medicinenet.com, medscape.com, rxlist.com, medscapestatic.com, health.zone, healthline.com, mayoclinic.org, everydayhealth.com, sfvwe.com, httpstat.us"
match.com,"peoplemedia.com, ourtime.com, blackpeoplemeet.com, hexagon-analytics.com, siftscience.com, afrointroductions.com, mtlcraft.com, together2night.com, vcn.com, chowhound.com, bestadserve.com, appmobile.cc, zoosk.com, badoocdn.com, asiacharm.com"
glassdoor.com,"indeed.com, glassdoor.de, appcast.io, careerbuilder.com, ziprecruiter.com, filter.to, headfarming.com, milwpc.com, firespring.com, nexxt.com, j2c.com, jobs2careers.com, job-tree.com, icbdr.com, delldocumenthub.com"
ixl.com,"sfdr-cisd.org, fullsail.edu, sugarandcotton.com, studyisland.com, smiledirectclub.com, lovebookonline.com, coolmathgames.com, quakeroats.com, teacherspayteachers.com, arteza.com, imperosoftware.com, naviance.com, applitrack.com, coolmath-games.com, getepic.com"
yelp.com,"yelpcdn.com, braze.com, whatsapp.net, foursquare.com, samsunghealth.com, wfxtriggers.com, android.com, uservoice.com, w-x.co, fitbit.com, accuweather.com, samsungapps.com, mcafeemobilesecurity.com, delta.com, mapbox.com"
food.com,"geniuskitchen.com, foodnetwork.com, addapinch.com, snidigital.com, allrecipes.com, tastykitchen.com, whisk.com, sndimg.com, filestackapi.com, dinnerthendessert.com, spendwithpennies.com, mqtco.org, butcherbox.com, southernbite.com, thespruceeats.com"
walmart.com,"walmartimages.com, wal.co, wmt.co, schema.org, hlserve.com, radar.io, wayfair.com, target.com, samsclub.com, chatidcdn.com, webcollage.net, lowes.com, atdmt.com, gvt3.com, myvisualiq.net"
foxnews.com,"fncstatic.com, foxbusiness.com, h-cdn.com, edgekey.net, foxnewsinsider.com, admantx.com, sercheshub-hearing-aids.com, pxltopxl.com, securetve.com, thehomesecuritysystemsguide.com, spots.im, rpxnow.com, searcheshub-retirement.com, searcheshub-medical-alerts.com, alienuniverse.com"
pornhub.com,"phncdn.com, trafficjunky.net, phcdn.com, contentabc.com, etahub.com, videosz.com, nsimg.net, doublepimpssl.com, rncdn4.com, rncdn5.com, adtng.com, doublepimp.com, insigit.com, phprcdn.com, itsup.com"
salliemae.com,"webhostingpad.com, cityofchesapeake.net, wecenergygroup.com, att-mail.com, commodityfoil.com, officialpayments.com, myfedloan.org, entrust.net, gnc.com, synchronybank.com, responsys.net, realtime.email, creditkarma.com, vzwshop.com, milwpc.com"
54.207,"207.14, 207.79, 254.207, 42.168, 207.22, 2127.07, 0.014, 20.65, 13.82, lonehawkranch.com, 75.179, orbitbilling.com, 221.49, 15.128, 86.44"
newmexico.gov,"nm.us, renlearn.com, dot.gov, dmv.org, governmentjobs.com, popularmechanics.com, jeffcopublicschools.org, neogov.com, garena.com, colorado.gov, cityofchesapeake.net, doi.gov, digitalturbine.com, transfloexpress.com, colorado4h.org"
outbrain.com,"outbrainimg.com, outbrain.org, pxltopxl.com, im-apps.net, fastlylb.net, yieldmo.com, chartbeat.net, teads.tv, criteo.net, aniplayer.net, mfadsrvr.com, cwkuki.com, adsymptotic.com, krxd.net, tapad.com"
norton.com,"cloudflare-dns.com, symantecliveupdate.com, symantec.com, nortoncdn.com, ucsuri.tcs, verisign.com, live.net, macromedia.com, akamai.com, onedrive.com, msftconnecttest.com, sfx.ms, dellsupportcenter.com, windowsupdate.com, pki.goog"
vzw.com,"vzmessages.com, glympse.com, cequintvzwidml.com, wavesecure.com, cequintvzwecid.com, myvzw.com, mcafeemobilesecurity.com, evie.com, cequintimsdev.com, localytics.com, android.com, verizonwireless.com, vzwdm.com, samsungiotcloud.com, accuweather.com"
ebay.com,"ebaystatic.com, ebayimg.com, ebayrtm.com, ebaydesc.com, ebay-us.com, paypal.com, jetlore.com, forter.com, froo.com, slickdeals.net, paypalobjects.com, sixbitsoftware.com, 247-inc.net, auctiva.com, frooition.com"
office.com,"microsoftonline.com, office.net, live.net, footprintdns.com, sfx.ms, edgesuite.net, nsatc.net, msocsp.com, windows.net, msftconnecttest.com, akadns6.net, onedrive.com, ucsuri.tcs, windowsupdate.com, acompli.net"
apartments.com,"zg-api.com, zillow.com, zillowstatic.com, remax.com, sunnumber.com, rentcafe.com, rentpathcdn.com, consumersource.com, eneighborhoods.com, greatschools.org, maplogs.com, 252.192, coldwellhomes.com, trulia.com, cordlessmedia.com"
23andme.com,"mhcache.com, myheritageimages.com, homedepotemail.com, myheritage.com, ancestry.com, nextdoor.com, primevideo.com, realtime.email, questionmarket.com, opentable.com, americanexpress.com, cybermesa.com, docusign.net, myacurite.com, homedepot.com"
ups.com,"webtrendslive.com, userzoom.com, usps.com, narvar.com, medallia.com, fedex.com, kohlscareers.com, exacttarget.com, envisionradiology.com, list-manage.com, neolane.net, ink1001.com, chewy.com, rs6.net, inq.com"
uber.com,"ubr.to, bnc.lt, bttn.io, m.me, adj.st, fb.gg, ig.me, test-app.link, amazon.it, etsy.me, getmein.io, app.link, onelink.me, amazon.es, amazon.in"
