Query Name,Similar Domains
elle.com,"brilliantearth.com, theringer.com, theintercept.com, prevention.com, foreignpolicy.com, economist.com, openculture.com, kiplinger.com, hbr.org, lithub.com, mensjournal.com, theatlantic.com, nextadvisor.com, wired.com, thepointsguy.com"
uber.com,"etsy.me, bnc.lt, test-app.link, adj.st, hbonow.com, bttn.io, hbogo.com, ig.me, zyngamail.com, rover.com, blueapron.com, bible.com, ubr.to, canva.cn, linkedinmobileapp.com"
webmd.com,"medscape.com, medicinenet.com, rxlist.com, emedicinehealth.com, tagsrvcs.com, honcode.ch, surveywriter.net, medscapestatic.com, ibclick.stream, mayoclinic.org, swoop-amp.com, cancertherapyadvisor.com, lawyers.com, healthline.com, healthonnet.org"
match.com,"blackpeoplemeet.com, peoplemedia.com, ourtime.com, afrointroductions.com, hexagon-analytics.com, yusercontent.com, zoosk.com, tiny.cc, hpsavingscenter.com, thompson.local, tbaisd.org, jobhat.com, mygreatlakes.org, loveme.com, autoclubgroup.com"
glassdoor.com,"glassdoor.de, charityengine.com, progressive.com, lyft.com, myworkdayjobs.com, ebilling.com, otstatic.com, tacomascrew.com, docusign.net, auction.com, nextdoor.com, vzwshop.com, idahopower.com, indeed.com, zomato.com"
ixl.com,"teacherspayteachers.com, bigcartel.com, silhouettedesignstore.com, clipartkid.com, bonanza.com, clipart-library.com, fullsail.edu, redbubble.com, flickr.com, zazzle.com, picmonkey.com, wearfigs.com, sargento.com, 365greetings.com, canstockphoto.com"
yelp.com,"wpad.DJSCOMPUTER, gasbuddy.com, moviesanywhere.com, waze.com, cwtv.com, cardiogr.am, hoopladigital.com, yelp.pt, opentable.com, yelp.pl, blackberry.com, yelp.es, yelp.fr, songkick.com, yelp.it"
food.com,"geniuskitchen.com, whisk.com, foodnetwork.com, sni-dat.com, snidigital.com, diynetwork.com, filestackapi.com, sndimg.com, spendwithpennies.com, lilluna.com, thespruceeats.com, hgtv.com, therecipecritic.com, travelchannel.com, simplyrecipes.com"
walmart.com,"wmt.co, walmartimages.com, wal.co, richcontext.com, schema.org, lowes.com, bytemgdd.com, redplum.com, speedroute.net, dealsplus.com, zdcs.link, myfinanceservice.com, theblackfriday.com, cellfire.com, nutrisystem.com"
foxnews.com,"foxbusiness.com, fncstatic.com, foxnewsinsider.com, wa.gov, pxltopxl.com, legacyoffers.com, admantx.com, spots.im, radwarecloud.net, searchthis.net, thehomesecuritysystemsguide.com, sercheshub-hearing-aids.com, searcheshub-suv.com, rpxnow.com, nerdwallet.com"
pornhub.com,"etahub.com, phcdn.com, phncdn.com, phprcdn.com, trafficjunky.net, contentabc.com, nsimg.net, rncdn5.com, vfgtb.com, videosz.com, pornhublive.com, contentdef.com, centrofiles.com, afgr3.com, horny-pussies.com"
salliemae.com,"cityofchesapeake.net, dfas.mil, myfedloan.org, nymcu.org, genexservices.com, adobesystems.com, vagaro.com, cartera.com, maxxxmotorsports.com, petfinder-email.com, browserhawk.com, aspennights.com, xcelenergy-emailnews.com, resortgroup.net, dvd.com"
54.207,"254.207, 207.14, 0.014, 207.79, 135.148, 37.57, 0.193, 127.07, 93.17, 12.82, 42.10, 42.20, 54.20, 2540.0, 42.34"
newmexico.gov,"nm.us, chambermaster.com, governmentjobs.com, neogov.com, jjkeller.local, jjkeller.com, wnmu.edu, az.gov, wisconsindot.gov, hcouponsimplified.com, startssl.com, gooutdoorsvirginia.com, trustlogo.com, egistec.com, recruitics.com"
outbrain.com,"outbrainimg.com, outbrain.org, pxltopxl.com, tree.com, fastlylb.net, sphere.com, im-apps.net, iflscience.com, nbc26.com, scrippsnationalnews.com, thedenverchannel.com, theoplayer.com, spine.host, aniplayer.net, tmj4.com"
norton.com,"cloudflare-dns.com, symantec.com, symantecliveupdate.com, gocyberlink.com, smilebox.com, moovielive.com, verisign.com, apnanalytics.com, ceipmsn.com, totaldefense.com, slimware.com, onedrive.com, acronis.com, disconnect.me, nortoncdn.com"
vzw.com,"cequintvzwidml.com, cequintvzwecid.com, wavesecure.com, evie.com, weatherlive.info, mcafeemobilesecurity.com, samsunghealth.com, plotprojects.com, aibixby.com, radar.io, huntstand.com, cuebiq.com, samsungiotcloud.com, protrade.com, xtify.com"
ebay.com,"ebaystatic.com, ebayrtm.com, ebaydesc.com, ebayimg.com, ebay-us.com, auctiva.com, sunandfuninoc.com, vendio.com, frooition.com, ebaystores.com, sixbitsoftware.com, inkfrog.com, picclick.com, froo.com, paypal.com"
office.com,"oaspapps.com, msocdn.com, b-msedge.net, k-msedge.net, office.net, sharepointonline.com, hightail.com, yammer.com, idrive.com, iana.org, yousendit.com, nsatc.net, olsvc.com, echosign.com, svc.ms"
