Query Name,Similar Domains
bengals.com,"azcardinals.com, atlantafalcons.com, chargers.com, baltimoreravens.com, buffalobills.com, 49ers.com, chiefs.com, newyorkjets.com, clevelandbrowns.com, nflalumni.org, buccaneers.com, nfl.biz, miamidolphins.com, nflplayercare.com, jaguars.com"
huffingtonpost.com,"huffpost.com, huffp.st, intercontinental.com, techcrunch.com, afp.com, usaspending.gov, ocasio2018.com, barryforussenate.com, santafenewmexican.com, readsludge.com, scotusblog.com, autoblog.com, real-time-with-bill-maher-blog.com, engadget.com, moonconnection.com"
elle.com,"lithub.com, theintercept.com, foreignpolicy.com, prevention.com, theringer.com, esquire.com, kiplinger.com, openculture.com, hbr.org, longreads.com, irlpodcast.org, synd.co, roadandtrack.com, makeuseof.com, getrichslowly.org"
medicinenet.com,"rxlist.com, emedicinehealth.com, honcode.ch, medscape.com, medscapestatic.com, onhealth.com, truste-svc.net, wbmd.com, hon.ch, ibclick.stream, contentquest.net, aframe.io, webmdhealthservices.com, tagsrvcs.com, urac.org"
rent.com,"primedia.com, rentpathcdn.com, rentpathcode.com, apartmentguide.com, rentals.com, zg-ap-apps.com, consumersource.com, rentpathservices.com, sothebysrealty.com, remax.com, realtourvision.com, apartmentfinder.com, coldwellbankerhomes.com, purple.com, tourbuzz.net"
match.com,"peoplemedia.com, ourtime.com, blackpeoplemeet.com, hexagon-analytics.com, singleparentmeet.com, seniorpeoplemeet.com, blk-app.com, siftscience.com, theappreciationengine.com, appmobile.cc, bbpeoplemeet.com, pof.com, chispa-app.com, loveandseek.com, afrointroductions.com"
hotels.com,"cdn-hotels.com, hotelsapi.io, orbitz.com, hoteles.com, uciservice.com, hotels.cn, hoteis.com, koddi.com, apihotels.net, trvl-media.com, travelocity.com, glassboxdigital.io, expediamail.com, ticketnetwork.com, travel-assets.com"
uber.com,"ubr.to, ig.me, bttn.io, ubereats.com, lf360.co, nzc.am, xpda.co, air.tl, alltrails.io, abnb.me, airbnbmail.com, verv.com, wazestg.com, cbsnewsletter.com, doorcrawl.com"
kohls.com,"kohlsimg.com, zineone.com, kohlscareers.com, kohlslocal.com, kohlscorporation.com, firstdataapps.com, tdxio.com, addressy.com, zootweb.com, tagdelivery.com, trendage.com, ulta.com, mykohlscharge.com, ultainc.com, longhornsteakhouse.com"
ancestry.com,"ancestrycdn.com, findagrave.com, ftmcloud.com, rootsweb.com, ethn.io, myheritageimages.com, geni.com, myheritage.com, lytics.io, weremember.com, mhcache.com, mackiev.com, fold3.com, familysearch.org, rootsweb.blog"
ups.com,"webtrendslive.com, anheuser-busch.com, cvscaremark.com, caremark.com, defendantnerve.com, youngliving.com, mygreatlakes.org, vitacost.com, troweprice.com, moneygram.com, phreesia.net, josbank.com, travelers.com, billmatrix.com, myactivehealth.com"
costco.com,"costco-static.com, whatcounts.com, krogermail.com, email-duluthtrading.com, costcoservices.com, dailyplaster.com, guitarcenter.com, menswearhouse.com, myregistry.com, famousfootwear.com, sellpoints.com, citymarket.com, accertify.net, northerntoolemail.com, pizzahutoffers.com"
bankrate.com,"brimg.net, brstatic.com, redventuresla.com, myfinance.com, smartasset.com, marketrealist.com, smrt.as, kob.com, autoblog.com, dunkindonuts.com, yhoo.it, techcrunch.com, xignite.com, huffp.st, wsodcdn.com"
ny.gov,"umuc.edu, sec.gov, bls.gov, uwm.com, wolfriverbank.com, rainpos.com, mymedicare.gov, webnode.com, payscale.com, finra.org, elastic.com, theupsstore.com, bcbs.com, bankratecreditcards.com, mitchellhomesinc.com"
